ok1.keys,ok1.rt,resp.keys,resp.corr,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
space,59.2509,,0,0,0,0,2,1,umlaut,word,w,S,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,,,,,,,
,,n,1,0,1,1,8,1,dipplagungor,nonword,n,S,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,2.2722,,,,,,
,,w,1,0,2,2,1,1,house,word,w,SS,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,2.2647,,,,,,
,,n,1,0,3,3,5,1,deg,nonword,n,SS,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,2.2492,,,,,,
,,w,1,0,4,4,0,1,dog,word,w,S,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.4347,,,,,,
,,w,1,0,5,5,3,1,doppleganger,word,w,SS,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.7311,,,,,,
,,w,0,0,6,6,6,1,haise,nonword,n,S,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.6381,,,,,,
,,n,1,0,7,7,9,1,casterd,nonword,n,SS,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,5.7523,,,,,,
,,w,1,0,8,8,4,1,custard,word,w,S,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.2986,,,,,,
,,n,1,0,9,9,7,1,imleit,nonword,n,SS,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.8328,,,,,,
,,n,0,,,,,,beatific,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.8492,0,0,0,14,1,1
,,n,1,,,,,,alegoes,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1968,0,1,1,98,1,1
,,n,1,,,,,,chencels,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1649,0,2,2,87,1,1
,,n,1,,,,,,debetong,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.2352,0,3,3,97,1,4
,,n,1,,,,,,scoentofoc,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.2301,0,4,4,93,1,86
,,w,1,,,,,,friendly,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9312,0,5,5,8,1,61
,,n,0,,,,,,assiduous,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.8661,0,6,6,0,1,1
,,w,1,,,,,,spiritual,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.6648,0,7,7,12,1,64
,,w,1,,,,,,assets,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9006,0,8,8,55,1,13
,,w,1,,,,,,automobile,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.753,0,9,9,5,1,50
,,n,1,,,,,,stetostocs,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.4013,0,10,10,69,1,1
,,n,0,,,,,,uncoerced,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.248,0,11,11,53,1,1
,,n,1,,,,,,beetofoc,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.3152,0,12,12,74,1,1
,,n,1,,,,,,froandly,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9687,0,13,13,68,1,61
,,n,1,,,,,,iducetuon,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,3.1829,0,14,14,67,1,214
,,n,1,,,,,,calestoel,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,2.4801,0,15,15,90,1,8
,,n,1,,,,,,huevanly,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1502,0,16,16,89,1,9
,,w,1,,,,,,churches,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.7366,0,17,17,36,1,96
,,n,1,,,,,,servoce,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.417,0,18,18,75,1,313
,,n,1,,,,,,ontellectiel,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1289,0,19,19,111,1,68
,,n,0,,,,,,elegies,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.0457,0,20,20,38,1,1
,,w,1,,,,,,economics,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.6997,0,21,21,28,1,17
,,n,1,,,,,,aurthly,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,2.0164,0,22,22,91,1,6
,,n,1,,,,,,letarery,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1005,0,23,23,73,1,78
,,w,1,,,,,,knowledge,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.666,0,24,24,59,1,145
,,n,1,,,,,,erudotoon,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1159,0,25,25,101,1,1
,,n,0,,,,,,altruistic,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.4641,0,26,26,49,1,1
,,w,1,,,,,,limousine,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.5207,0,27,27,10,1,4
,,w,1,,,,,,ensemble,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9861,0,28,28,42,1,11
,,w,1,,,,,,amicable,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.3483,0,29,29,52,1,1
,,w,1,,,,,,broker,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.6334,0,30,30,35,1,1
,,n,1,,,,,,gavirnmunt,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9186,0,31,31,104,1,417
,,n,1,,,,,,otchur,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9035,0,32,32,100,1,1
,,n,1,,,,,,mundene,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1042,0,33,33,110,1,3
,,w,1,,,,,,scientific,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.2365,0,34,34,33,1,86
,,w,1,,,,,,market,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.6678,0,35,35,16,1,133
,,n,1,,,,,,peontong,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.7149,0,36,36,82,1,59
,,n,1,,,,,,eutomobole,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9858,0,37,37,65,1,50
,,w,1,,,,,,inductive,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.8001,0,38,38,46,1,1
,,w,1,,,,,,painting,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.7723,0,39,39,22,1,59
,,n,1,,,,,,vognette,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.0716,0,40,40,108,1,2
,,n,1,,,,,,convovoeloty,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1567,0,41,41,99,1,1
,,n,1,,,,,,benogn,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.8401,0,42,42,77,1,1
,,n,0,,,,,,liberties,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1164,0,43,43,4,1,8
,,w,1,,,,,,lawyer,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.7657,0,44,44,1,1,43
,,n,1,,,,,,charches,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9659,0,45,45,96,1,96
,,n,1,,,,,,physocs,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.7825,0,46,46,62,1,22
,,n,1,,,,,,sampothy,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.4836,0,47,47,63,1,6
,,n,1,,,,,,sevongs,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.9458,0,48,48,78,1,23
,,n,1,,,,,,psychocel,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.8624,0,49,49,84,1,4
,,w,1,,,,,,poetry,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,1.1983,0,50,50,26,1,88
,,n,1,,,,,,onotoetove,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.7459,0,51,51,107,1,32
,,w,1,,,,,,literary,word,w,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.6486,0,52,52,13,1,78
,,n,1,,,,,,sporotuel,nonword,n,,,f,19,01,2021-10-07_11h30.03.248,WordFreq,2021.1.4,MacIntel,60.0024001,0.7669,0,53,53,72,1,64
