ok1.keys,ok1.rt,resp.keys,resp.corr,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
k,78.5209,,0,0,0,0,2,1,umlaut,word,w,S,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,,,,,,,
,,w,1,0,1,1,0,1,dog,word,w,S,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,1.1795,,,,,,
,,w,1,0,2,2,4,1,custard,word,w,S,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,0.7591,,,,,,
,,n,1,0,3,3,8,1,dipplagungor,nonword,n,S,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,0.9853,,,,,,
,,w,1,0,4,4,3,1,doppleganger,word,w,SS,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,0.7461,,,,,,
,,w,0,0,5,5,6,1,haise,nonword,n,S,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,3.0945,,,,,,
,,n,1,0,6,6,5,1,deg,nonword,n,SS,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,0.9623,,,,,,
,,n,1,0,7,7,9,1,casterd,nonword,n,SS,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,0.9642,,,,,,
,,w,1,0,8,8,1,1,house,word,w,SS,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,0.6625,,,,,,
,,n,1,0,9,9,7,1,imleit,nonword,n,SS,Alex Brown,female,19,03,2021-10-08_17h05.06.707,WordFreq,2021.1.4,Win32,59.69080165,0.8676,,,,,,
